Service Type Code,Mail Class,Extra Service Code 1st Service,Extra Service Code 2nd Service,Extra Service Code 3rd Service,Extra Service Code 4th Service
615,PS,921,
616,PS,931,
617,PS,915,955
618,PS,915,957
619,PS,915,950
620,PS,915,921
621,PS,915,970
622,PS,920,
623,PS,920,970
624,PS,930,
625,PS,930,920
627,PS,930,
628,PS,931,957
629,PS,930,970,,
630,PS,931,920,,
632,PS,931,,,
633,PS,915,955,957,
634,PS,915,955,950,
635,PS,915,955,957,950
636,PS,931,955,957,
637,PS,931,955,950,
638,PS,931,955,957,950
639,PS,931,955,,
640,PS,931,950,,
641,PS,931,921,,
642,PS,,,,
643,PS,931,970,,
644,PS,,,,
646,PS,921,970,,
647,PS,970,
648,PS,970,
650,PS,930,960
651,PS,960,
652,PS,920,960
654,PS,970,960
667,PM,930,920
668,PM,931,920
669,FC,930,920
670,FC,931,920
671,BP,930,920
672,BP,931,920
673,BB,930,920
674,BB,931,920
675,BS,930,920
676,BS,931,920
677,BL,931,920
678,BL,930,920
679,PM,915,920
680,PM,915,921
681,PM,922,
682,PM,923,
683,PM,922,910
684,PM,923,910
685,PM,922,915
686,PM,923,915
687,PM,922,930
688,PM,923,930
689,PM,922,931
690,PM,923,931
691,PS,922,
692,PS,923,
693,FC,910,957,950
694,PS,922,915,
695,PS,923,915,
696,PS,922,930,
697,PS,923,930,
698,PS,922,931,
699,PS,923,931,
700,FC,,,
702,SA,,,
710,EX,,,
711,EX,955,,
712,EX,925,,
713,EX,925,955,
714,EX,915,,
715,EX,915,955,
716,EX,985,,
717,EX,955,985,
718,EX,925,985,
719,EX,925,955,985
720,EX,915,985,
721,EX,915,955,985
722,EX,,,
723,EX,,,
724,EX,922,,
725,EX,923,,
726,EX,922,925,
727,EX,923,925,
728,EX,,,
733,FC,910,,
734,FC,910,955,
735,FC,910,957,
736,FC,910,950,
737,FC,910,955,950,
738,FC,910,955,957,
739,FC,910,955,957,950
742,FC,,,,
760,CM,920,,,
761,CM,920,930,,
762,CM,920,931,,
763,CM,921,,,
764,CM,921,930,,
765,CM,921,931,,
766,CM,922,,,
767,CM,922,930,,
768,CM,922,931,,
769,CM,923,,,
770,CM,923,930,,
771,CM,923,931,,
703,S2,
704,S2,920
705,S2,970,,
706,S2,920,970,
659,PM,922,955,
815,PM,990,923,931
660,PM,923,955,
801,PM,990,920,
802,PM,990,930,
803,PM,990,930,920
804,PM,990,931,
805,PM,990,931,920
810,PM,990,922,
806,FC,990,931,
811,PM,990,923,
813,PM,990,923,930
812,PM,990,922,930
814,PM,990,922,931
800,FC,990,920,,
807,FC,990,930,,
809,FC,990,931,920,
808,FC,990,930,920,
707,LW,931,,,
708,LW,920,931,,
709,LW,955,931,,
743,LW,931,950,,
744,LW,931,957,,
745,LW,930,920,,
746,LW,930,,,
747,LW,920,970,,
748,LW,920,,,
749,LW,931,955,957,
784,LW,931,955,950,
785,LW,931,950,955,957
786,LW,930,960,
787,LW,960,,
788,LW,920,960,
789,LW,,,
835,LW,921,,
655,EX,922,955,
656,EX,923,955,
657,EX,922,955,985
658,EX,923,955,985
