Tier,00,03,04,05,06,07,08
0.10,4.58,4.65,4.74,4.99,5.23,5.47,5.82
0.20,5.01,5.16,5.32,5.53,5.73,5.94,6.33
0.30,5.23,5.69,6.24,7.78,8.63,9.38,10.29
0.40,5.45,6.38,7.34,9.28,10.90,11.96,13.48
0.50,6.20,7.48,8.57,11.54,13.46,14.88,17.02
