Weight,D,S
1,2.16,2.97
2,2.16,2.97
3,2.20,3.16
4,2.24,3.35
5,2.27,3.55
6,2.30,3.75
7,2.34,3.94
8,2.37,4.12
9,2.41,4.30
10,2.44,4.47
11,2.47,4.63
12,2.51,4.79
13,2.55,4.94
14,2.58,5.09
15,2.61,5.24
16,2.65,5.39
17,2.69,5.54
18,2.73,5.69
19,2.77,5.83
20,2.81,5.98
21,2.86,6.13
22,2.91,6.29
23,2.96,6.45
24,3.00,6.60
25,3.05,6.75
26,3.10,6.90
27,3.15,7.05
28,3.20,7.20
29,3.25,7.35
30,3.30,7.49
31,3.35,7.64
32,3.39,7.79
33,3.44,7.94
34,3.49,8.09
35,3.54,8.24
BN,2.81,5.98
