Weight,B,N
1,1.44,1.48
2,1.44,1.48
3,1.44,1.48
4,1.48,1.52
5,1.53,1.58
6,1.57,1.64
7,1.63,1.72
8,1.67,1.77
9,1.72,1.83
10,1.77,1.9
11,1.83,1.97
12,1.89,2.04
13,1.95,2.11
14,2,2.18
15,2.06,2.25
15.999,2.12,2.33
